year,mn_value,sd,n,se,col_group
1993,-0.2107774715836792,0.9630084546040327,41,0.15039665308604472,Less than long-term site average
1994,-0.3589884130165049,1.2157067787506726,48,0.1754721589918384,Less than long-term site average
1995,-0.15829031560367124,0.8254144429411336,55,0.11129886078121717,Less than long-term site average
1996,-0.6950623014212741,0.7841704650705356,52,0.10874487771216382,Less than long-term site average
1997,-1.241965958759791,0.7406388686861001,51,0.10371018572781823,Less than long-term site average
1998,-0.09001056612603243,1.0100928432273046,50,0.14284869981480547,Less than long-term site average
1999,0.13865769074008855,0.8382519953715858,52,0.11624463657970213,Greater than long-term site average
2000,-0.3920182419296687,0.8502800706837833,58,0.11164724301320034,Less than long-term site average
2001,0.024361432941687734,0.8492931779808358,53,0.11665938988522193,Greater than long-term site average
2002,-0.00937898094357161,0.9436928458605423,59,0.12285834390297848,Less than long-term site average
2003,-0.009875827338911175,0.7138896540976364,61,0.09140420392703572,Less than long-term site average
2004,0.22617194397248772,0.7097098449549976,61,0.09086903420569724,Greater than long-term site average
2005,0.7022221555459552,0.7858722732332041,59,0.10231185542225531,Greater than long-term site average
2006,-0.43832744673325535,0.8992665412389863,58,0.11807948172019188,Less than long-term site average
2007,0.594415608849361,0.7473604212433157,57,0.0989903060326533,Greater than long-term site average
2008,-0.16690770151637413,0.8080479743342935,60,0.10431854491777856,Less than long-term site average
2009,-0.8602961379002573,0.6800789886161571,57,0.09007866257821696,Less than long-term site average
2010,0.47192598285132037,0.9815929411126724,56,0.13117087424712104,Greater than long-term site average
2011,0.5574848861402311,0.7271355342475048,59,0.09466498333914221,Greater than long-term site average
2012,0.45827937929519447,0.8137875021291159,54,0.11074245218168961,Greater than long-term site average
2013,-0.008674226136190875,0.7529903079260137,53,0.10343117334461426,Less than long-term site average
2014,-0.17697848920554315,0.7529864009278182,54,0.10246847030710625,Less than long-term site average
2015,0.6530419863455615,0.865986955403122,53,0.11895245656638105,Greater than long-term site average
2016,0.7133096951885425,0.9221059787050674,57,0.1221359205437992,Greater than long-term site average
