year,mdn_value,sd,iqr,iqr_low,iqr_high,min,max,n,se,col_group
1994,-30,102.44757159693135,90,-90,0,-370,170,29,19.0240364531099,Less than long-term site median
1998,-85,82.61355820929153,75,-92.5,-17.5,-100,50,3,47.69696007084728,Less than long-term site median
1999,0,153.2040835881021,85,-60,25,-325,450,39,24.532287060363036,Equal to long-term site median
2000,30,187.0250503283374,141.25,-40,101.25,-490,590,44,28.19508719711046,Greater than long-term site median
2001,-20,173.580738837773,175,-100,75,-350,520,47,25.319352994770014,Less than long-term site median
2002,0,113.68261684944349,105,-75,30,-160,355,45,16.94680394236124,Equal to long-term site median
2003,30,146.77581577568682,105,-35,70,-405,645,46,21.640913394198076,Greater than long-term site median
2004,10,81.82920999156192,75,-15,60,-200,330,51,11.458381304292999,Greater than long-term site median
2005,-10,135.2207323772744,110,-60,50,-440,420,45,20.157516637526154,Less than long-term site median
2006,10,136.85749701713792,110,-50,60,-630,360,49,19.551071002448275,Greater than long-term site median
2007,0,329.00552658705095,83.75,-62.5,21.25,-170,2110,48,47.487857334977114,Equal to long-term site median
2008,0,92.72779825993793,75,-30,45,-120,350,52,12.859031972580258,Equal to long-term site median
2009,20,104.79850211660442,95,-20,75,-120,390,39,16.781190665470383,Greater than long-term site median
2010,0,153.58437131405458,167.5,-42.5,125,-280,525,47,22.402583015934052,Equal to long-term site median
2011,10,102.25975661583227,105,-25,80,-165,370,49,14.60853665940461,Greater than long-term site median
2012,-15,100.79471448486328,87.5,-57.5,30,-250,310,47,14.702420171367292,Less than long-term site median
2013,0,104.90036481567421,82.5,-61.25,21.25,-355,170,40,16.58620401000598,Equal to long-term site median
2014,0,114.3916904298831,122.5,-77.5,45,-330,270,39,18.317330199180233,Equal to long-term site median
2015,10,90.98244269115213,85,-30,55,-260,290,41,14.20907034089174,Greater than long-term site median
2016,0,91.09039109364662,96.25,-48.75,47.5,-165,215,42,14.055552495106774,Equal to long-term site median
