year,mn_value,sd,n,se,col_group
1994,-2.7222222222222223,12.452449239546896,36,2.0754082065911494,Less than long-term site average
1995,-3.3529411764705883,7.425926543316865,34,1.2735358955510436,Less than long-term site average
1996,-1,5.5677643628300215,3,3.2145502536643185,Less than long-term site average
1997,-0.6666666666666666,2.5166114784235836,3,1.452966314513558,Less than long-term site average
1998,-1.75,2.753785273643051,4,1.3768926368215255,Less than long-term site average
1999,-1.7674418604651163,6.263413071170601,43,0.9551615387560654,Less than long-term site average
2000,-0.3409090909090909,8.22628566842412,44,1.2401592263836718,Less than long-term site average
2001,2.12,10.424930871400031,50,1.474307862513589,Greater than long-term site average
2002,-2.5217391304347827,9.108577472628712,46,1.3429864803528062,Less than long-term site average
2003,1.574468085106383,19.102406723910427,47,2.7863723943725183,Greater than long-term site average
2004,0.6730769230769231,8.193065345685502,52,1.1361737387344681,Greater than long-term site average
2005,-2.795918367346939,8.118855604488271,49,1.1598365149268959,Less than long-term site average
2006,-1.6153846153846154,5.622621836808755,52,0.7797173590445188,Less than long-term site average
2007,2.269230769230769,12.1995104122519,52,1.6917677048819637,Greater than long-term site average
2008,0.35714285714285715,8.086866055364254,56,1.0806529325680396,Greater than long-term site average
2009,3.608695652173913,14.197774881797603,46,2.093347701619102,Greater than long-term site average
2010,-0.4528301886792453,10.708670171220806,53,1.4709489738593942,Less than long-term site average
2011,4.622641509433962,21.640619228214142,53,2.972567661386338,Greater than long-term site average
2012,-2.6666666666666665,7.358441864054285,51,1.0303879591713159,Less than long-term site average
2013,2.311111111111111,17.24004616928828,45,2.569994344650896,Greater than long-term site average
2014,-2.9761904761904763,7.330151880894438,42,1.1310669909529407,Less than long-term site average
2015,-0.043478260869565216,10.41570720218935,46,1.5357122446274485,Less than long-term site average
2016,1.1666666666666667,5.643046307731815,48,0.8145035762046219,Greater than long-term site average
