year,mn_value,col_group
1990,0.3195585368394621,Greater than long-term site average
1991,0.09402234000584092,Greater than long-term site average
1992,0.17879662162345533,Greater than long-term site average
1993,0.01435480627869367,Greater than long-term site average
1994,0.019713442655177375,Greater than long-term site average
1995,-0.09220989476036023,Less than long-term site average
1996,-0.06070791705680488,Less than long-term site average
1997,-0.07892190862813363,Less than long-term site average
1998,-0.07310592500072682,Less than long-term site average
1999,0.03619029541936295,Greater than long-term site average
2000,0.03610549038765815,Greater than long-term site average
2001,-0.019033263981024368,Less than long-term site average
2002,-0.08591654241178016,Less than long-term site average
2003,0.019620569932419174,Greater than long-term site average
2004,0.005228873651583948,Greater than long-term site average
2005,0.058117234579405534,Greater than long-term site average
2006,0.07636285054713525,Greater than long-term site average
2007,0.04724828698270971,Greater than long-term site average
2008,-0.008115446102857953,Less than long-term site average
2009,-0.13879979668823453,Less than long-term site average
2010,-0.02456942461514029,Less than long-term site average
2011,-0.055430979603869654,Less than long-term site average
2012,-0.011624692328716433,Less than long-term site average
2013,0.1219797923797182,Greater than long-term site average
